,Pressure,Temperature,Enthalpy,Depth,Massrate,Pola Aliran,Dryness,P2,P2_Homogen
38,9.521830702897432,177.76742715045066,2241.8467905776465,114,17.19,Mist,0.7361922988278338,9.558034718075914,9.552058183733687
39,9.558034718075914,177.9307029683755,2241.8898317213693,117,17.19,Mist,0.7360661922160177,9.594098281463786,9.588156069345967
40,9.594098281463786,178.09286124150242,2241.9326739794174,120,17.19,Mist,0.7359410285306134,9.630023142811018,9.624114833870237
41,9.630023142811018,178.25391871460266,2241.975321801827,123,17.19,Mist,0.7358167943124697,9.665811016574665,9.659936200031607
42,9.665811016574665,178.41389175111482,2242.017779504957,126,17.19,Mist,0.7356934763947348,9.701463582908525,9.695621856026428
43,9.701463582908525,178.572796344786,2242.060051276519,129,17.19,Mist,0.735571061894348,9.73698248861733,9.731173456484312
44,9.73698248861733,178.7306481308574,2242.102141180375,132,17.19,Mist,0.7354495382038583,9.772369348077012,9.766592623395919
45,9.772369348077012,178.88746239683132,2242.1440531611256,135,17.19,Mist,0.7353288929835333,9.80762574412252,9.801880947007959
46,9.80762574412252,179.04325409284013,2242.1857910484937,138,17.19,Mist,0.7352091141537329,9.842753228904565,9.837039986686838
47,9.842753228904565,179.1980378416132,2242.227358561512,141,17.19,Mist,0.7350901898875856,9.877753324716624,9.872071271752262
48,9.877753324716624,179.35182794809344,2242.26875931253,144,17.19,Mist,0.7349721086038925,9.912627524793447,9.9069763022821
49,9.912627524793447,179.5046384086828,2242.309996811047,147,17.19,Mist,0.7348548589603081,9.947377294082278,9.941756549889678
50,9.947377294082278,179.65648292016692,2242.351074467378,150,17.19,Mist,0.7347384298467284,9.982004069987902,9.976413458474665
51,9.982004069987902,179.80737488830653,2242.3919955961674,153,17.19,Mist,0.7346228103789345,10.016509263092606,10.010948444948642
52,10.016509263092606,179.95732743612416,2242.4327634197457,156,17.19,Mist,0.7345079898924375,10.050894257852097,10.045362899936396
53,10.050894257852097,180.1063534118964,2242.473381071354,159,17.19,Mist,0.734393957936537,10.085160413268312,10.07965818845391
54,10.085160413268312,180.2544653968614,2242.5138515982276,162,17.19,Mist,0.7342807042685849,10.119309063540108,10.113835650564003
55,10.119309063540108,180.40167571265573,2242.5541779645514,165,17.19,Mist,0.7341682188484389,10.153341518692658,10.147896602010519
56,10.153341518692658,180.5479964284965,2242.594363054297,168,17.19,Mist,0.7340564918330945,10.187259065186447,10.181842334831902
57,10.187259065186447,180.69343936810822,2242.6344096739413,171,17.19,Mist,0.7339455135715065,10.221062966506645,10.215674117954983
58,10.221062966506645,180.8380161164177,2242.674320555075,174,17.19,Mist,0.733835274599572,10.254754463733635,10.249393197769754
59,10.254754463733635,180.98173802601377,2242.714098356906,177,17.19,Mist,0.733725765635285,10.28833477609542,10.28300079868587
60,10.28833477609542,181.12461622339845,2242.7537456686614,180,17.19,Mist,0.7336169775740341,10.32180510150263,10.316498123671572
61,10.32180510150263,181.26666161501635,2242.7932650118946,183,17.19,Mist,0.733508901484071,10.355166617066766,10.349886354775725
62,10.355166617066766,181.40788489308972,2242.8326588427026,186,17.19,Mist,0.7334015286021109,10.388420479602342,10.383166653633607
63,10.388420479602342,181.5482965412586,2242.871929553854,189,17.19,Mist,0.7332948503290743,10.421567826113519,10.41634016195705
64,10.421567826113519,181.68790684003488,2242.911079476834,192,17.19,Mist,0.7331888582259677,10.45460977426583,10.44940800200955
65,10.45460977426583,181.8267258720772,2242.950110883812,195,17.19,Mist,0.7330835440098903,10.487547422843528,10.482371277066871
66,10.487547422843528,181.96476352729354,2242.9890259895324,198,17.19,Mist,0.7329788995501684,10.520381852193115,10.51523107186372
67,10.520381852193115,182.1020295077828,2243.0278269531323,201,17.19,Mist,0.7328749168646049,10.553114124653534,10.547988453026973
68,10.553114124653534,182.2385333326141,2243.0665158798915,204,17.19,Mist,0.7327715881158486,10.585745284973543,10.580644469495951
69,10.585745284973543,182.3742843424552,2243.105094822916,207,17.19,Mist,0.7326689056078729,10.618276360716695,10.613200152930249
70,10.618276360716695,182.50929170405487,2243.143565784757,210,17.19,Mist,0.7325668617825603,10.650708362654417,10.64565651810551
71,10.650708362654417,182.64356441458278,2243.181930718973,213,17.19,Mist,0.7324654492163959,10.683042285147568,10.678014563297618
72,10.683042285147568,182.77711130583566,2243.2201915316296,216,17.19,Mist,0.7323646606172495,10.71527910651693,10.71027527065572
73,10.71527910651693,182.90994104831157,2243.2583500827477,219,17.19,Mist,0.7322644888212663,10.747419789402985,10.742439606564444
74,10.747419789402985,183.04206215515984,2243.296408187697,222,17.19,Mist,0.7321649267898395,10.779465281115378,10.77450852199574
75,10.779465281115378,183.17348298600803,2243.33436761854,225,17.19,Mist,0.7320659676066779,10.81141651397242,10.806482952850645
